34,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,,GOOGL,GOOGL,알파벳 A,681,171.5,383,123%,"116,806","260,803","143,996",CURRENCY:USDKRW,1520.8,"396,633,765",30%,30%
2,,NVDA,NVDA,엔비디아,"1,023",42.3,215.3,409%,"43,261","220,283","177,022",CURRENCY:USDKRW,1520.8,"335,010,169",26%,56%
3,,AMZN,AMZN,아마존닷컴,500,139.1,266.3,91%,"69,553","133,160","63,607",CURRENCY:USDKRW,1520.8,"202,512,391",15%,71%
4,,TSLA,TSLA,테슬라,214,254.5,426.01,67%,"54,458","91,166","36,708",CURRENCY:USDKRW,1520.8,"138,645,466",0%,71%
5,,MSFT,MSFT,마이크로소프트,188,315,418.6,33%,"59,221","78,691","19,470",CURRENCY:USDKRW,1520.8,"119,675,090",9%,81%
6,,AAPL,AAPL,애플,237,177.7,308.8,74%,"42,120","73,190","31,070",CURRENCY:USDKRW,1520.8,"111,309,333",9%,89%
7,,COST,COST,코스트코 홀세일,32,744.5,"1,028.20",38%,"23,824","32,904","9,080",CURRENCY:USDKRW,1520.8,"50,040,575",4%,93%
8,,META,META,메타 플랫폼스(페이스북),27,654.6,610.3,-7%,"17,675","16,477","-1,198",CURRENCY:USDKRW,1520.8,"25,058,582",2%,95%
9,,SMH,SMH,반도체 반에크 ETF,20,417.3,576.3,38%,"8,346","11,526","3,181",CURRENCY:USDKRW,1520.8,"17,529,580",1%,96%
10,,QQQ,QQQ,QQQ 인베스코 ETF,14,397.3,717.5,81%,"5,562","10,046","4,483",CURRENCY:USDKRW,1520.8,"15,277,489",1%,97%
11,,HOOD,HOOD,로빈후드,56,104.8,73.6,-30%,"5,869","4,124","-1,745",CURRENCY:USDKRW,1520.8,"6,271,618",0%,98%
12,,PLTR,PLTR,팔란티어 테크,24,158.8,136.9,-14%,"3,810","3,285",-525,CURRENCY:USDKRW,1520.8,"4,996,076",0%,98%
13,,V,V,비자,9,236.6,328.9,39%,"2,129","2,960",831,CURRENCY:USDKRW,1520.8,"4,501,506",0%,98%
14,,NFLX,NFLX,넷플릭스,30,57.7,88.6,54%,"1,732","2,658",926,CURRENCY:USDKRW,1520.8,"4,042,340",0%,99%
15,,AMD,AMD,AMD,4,263,467.5,78%,"1,052","1,870",818,CURRENCY:USDKRW,1520.8,"2,843,994",0%,99%
16,,AMAT,AMAT,어플라이드 머티어리얼즈,3,275.7,432.2,57%,827,"1,296",469,CURRENCY:USDKRW,1520.8,"1,971,713",0%,99%
17,,ARKF,ARKF,ARK FINTECH INNOVATION,29,42.4,40.85,-4%,"1,230","1,185",-45,CURRENCY:USDKRW,1520.8,"1,801,616",0%,99%
18,,CRCL,CRCL,써클 인터넷 그룹,10,97.5,113.1,16%,975,"1,131",156,CURRENCY:USDKRW,1520.8,"1,720,352",0%,99%
19,,LLY,LLY,일라이 릴리,1,676.8,"1,065.00",57%,677,"1,065",388,CURRENCY:USDKRW,1520.8,"1,619,673",0%,99%
20,,COIN,COIN,코인베이스 글로벌,5,205.5,185,-10%,"1,028",925,-103,CURRENCY:USDKRW,1520.8,"1,406,682",0%,100%
21,,ISRG,ISRG,인튜이티브 서지컬,2,354.7,438.1,24%,709,876,167,CURRENCY:USDKRW,1520.8,"1,332,542",0%,100%
22,,RGTI,RGTI,리게티 컴퓨팅,47,17.1,26.4,55%,803,"1,242",438,CURRENCY:USDKRW,1520.8,"1,888,463",0%,100%
23,,BRK.b,BRK.b,버크셔 해서웨이 B,1,311.5,486.38,56%,312,486,174,CURRENCY:USDKRW,1520.8,"739,687",0%,100%
24,,UNH,UNH,유나이티드헬스 그룹,1,325.2,388.5,19%,325,388,63,CURRENCY:USDKRW,1520.8,"590,793",0%,100%
25,,SOXL,SOXL,미국 반도체 3배 디렉시온 ETF,2,94.3,190.6,102%,189,381,192,CURRENCY:USDKRW,1520.8,"579,615",0%,100%
26,,RACE,RACE,페라리,1,307.7,348.2,13%,308,348,41,CURRENCY:USDKRW,1520.8,"529,610",0%,100%
27,,ARKW,ARKW,ARK NEXT GENERATION INTERNET,2,148.4,145.28,-2%,297,291,-6,CURRENCY:USDKRW,1520.8,"441,884",0%,100%
28,,AIPO,AIPO,DEFIANCE AI & POWER INFRASTRUCTURE,7,31.9,32.4,1%,224,227,3,CURRENCY:USDKRW,1520.8,"344,496",0%,100%
29,,MSTR,MSTR,스트래티지,1,186,159.9,-14%,186,160,-26,CURRENCY:USDKRW,1520.8,"243,164",0%,100%
30,,MP,MP,MP 머티리얼스,2,60.3,64.5,7%,121,129,8,CURRENCY:USDKRW,1520.8,"196,064",0%,100%
31,,SBUX,SBUX,스타벅스,1,85.3,103.1,21%,85,103,18,CURRENCY:USDKRW,1520.8,"156,812",0%,100%
32,,TOPT,TOPT,ISHARES TOP 20 US STOCKS,3,32.4,33.8,4%,97,101,4,CURRENCY:USDKRW,1520.8,"154,029",0%,100%
33,,NKE,NKE,나이키 B,1,65.2,44.7,-31%,65,45,-21,CURRENCY:USDKRW,1520.8,"67,935",0%,100%
34,,SMR,SMR,뉴스케일 파워,3,15,11.4,-24%,45,34,-11,CURRENCY:USDKRW,1520.8,"52,012",0%,100%
