13,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:428510,428510,KODEX 차이나AI테크액티브,"1,732","26,294","29,450",12%,"45,541,208","51,007,400","5,466,192",WON,1,"51,007,400",16%,16%
2,krx:,krx:390390,"390,390",KODEX 미국반도체,841,"35,868","59,070",65%,"30,164,988","49,677,870","19,512,882",WON,1,"49,677,870",16%,32%
3,krx:,krx:396520,"396,520",TIGER 차이나반도체FACTSET,"3,275","12,632","16,300",29%,"41,369,800","53,382,500","12,012,700",WON,1,"53,382,500",17%,49%
4,krx:,krx:379810,"379,810",KODEX 미국나스닥100,"1,638","28,699","29,645",3%,"47,008,962","48,558,510","1,549,548",WON,1,"48,558,510",16%,65%
5,krx:,krx:381170,"381,170",TIGER 미국테크TOP10 INDXX,"1,367","33,421","34,980",5%,"45,686,507","47,817,660","2,131,153",WON,1,"47,817,660",15%,80%
6,krx:,krx:456600,"456,600",TIME 글로벌AI인공지능액티브,474,"32,312","64,950",101%,"15,315,888","30,786,300","15,470,412",WON,1,"30,786,300",10%,90%
7,krx:,krx:414780,"414,780",TIGER 차이나과창판STAR50(합성),673,"13,086","16,400",25%,"8,806,878","11,037,200","2,230,322",WON,1,"11,037,200",4%,94%
8,krx:,krx:483340,"483,340",ACE 구글밸류체인액티브,402,"14,887","26,300",77%,"5,984,574","10,572,600","4,588,026",WON,1,"10,572,600",3%,97%
9,krx:,krx:487230,"487,230",KODEX 미국AI전력핵심인프라,324,"19,592","26,535",35%,"6,347,808","8,597,340","2,249,532",WON,1,"8,597,340",3%,100%
10,krx:,krx:426030,"426,030",TIME 미국나스닥100액티브,1,"32,121","55,300",72%,"32,121","55,300","23,179",WON,1,"55,300",0%,100%
11,krx:,krx:256750,"256,750",KODEX 차이나심천CHINEXT(합성),1,"15,450","19,455",26%,"15,450","19,455","4,005",WON,1,"19,455",0%,100%
12,krx:,krx:371160,"371,160",TIGER 차이나항셍테크,1,"9,218","8,110",-12%,"9,218","8,110","-1,108",WON,1,"8,110",0%,100%
