32,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:000660,660,SK하이닉스,210,"873,055","1,941,000",122%,"183,341,550","407,610,000","224,268,450",WON,1,"407,610,000",39%,39%
2,krx:,krx:005930,5930,삼성전자,"1,027","178,950","292,500",63%,"183,781,650","300,397,500","116,615,850",WON,1,"300,397,500",29%,68%
3,krx:,krx:396500,396500,TIGER 반도체TOP10,"5,911","29,736","48,000",61%,"175,769,496","283,728,000","107,958,504",WON,1,"283,728,000",27%,95%
4,krx:,krx:298040,298040,효성중공업,2,"3,324,300","4,007,000",21%,"6,648,600","8,014,000","1,365,400",WON,1,"8,014,000",1%,96%
5,krx:,krx:091160,91160,KODEX 반도체,42,"95,217","155,500",63%,"3,999,114","6,531,000","2,531,886",WON,1,"6,531,000",1%,97%
6,krx:,krx:010120,10120,LS ELECTRIC,22,"203,084","281,000",38%,"4,467,848","6,182,000","1,714,152",WON,1,"6,182,000",1%,97%
7,krx:,krx:363580,363580,KODEX 200IT TR,71,"39,103","61,285",57%,"2,776,313","4,351,235","1,574,922",WON,1,"4,351,235",0%,98%
8,krx:,krx:487240,487240,KODEX AI전력핵심설비,74,"43,785","55,090",26%,"3,240,090","4,076,660","836,570",WON,1,"4,076,660",0%,98%
9,krx:,krx:042700,42700,한미반도체,10,"289,038","320,500",11%,"2,890,380","3,205,000","314,620",WON,1,"3,205,000",0%,99%
10,krx:,krx:278530,278530,KODEX 200TR,72,"29,351","44,570",52%,"2,113,272","3,209,040","1,095,768",WON,1,"3,209,040",0%,99%
11,krx:,krx:278470,278470,에이피알,5,"247,500","391,000",58%,"1,237,500","1,955,000","717,500",WON,1,"1,955,000",0%,99%
12,krx:,krx:315960,315960,RISE 대형고배당10TR,18,"46,523","89,475",92%,"837,414","1,610,550","773,136",WON,1,"1,610,550",0%,99%
13,krx:,krx:434730,434730,HANARO 원자력iSelect,17,"55,531","81,280",46%,"944,027","1,381,760","437,733",WON,1,"1,381,760",0%,99%
14,krx:,krx:012450,12450,한화에어로스페이스,1,"938,000","1,261,000",34%,"938,000","1,261,000","323,000",WON,1,"1,261,000",0%,99%
15,krx:,krx:034020,34020,두산에너빌리티,11,"76,357","111,600",46%,"839,927","1,227,600","387,673",WON,1,"1,227,600",0%,100%
16,krx:,krx:267260,267260,HD현대일렉트릭,1,"834,847","1,173,000",41%,"834,847","1,173,000","338,153",WON,1,"1,173,000",0%,100%
17,KOSDAQ:,KOSDAQ:277810,277810,레인보우로보틱스,1,"638,761","754,000",18%,"638,761","754,000","115,239",WON,1,"754,000",0%,100%
18,krx:,krx:329180,329180,HD현대중공업,1,"495,000","680,000",37%,"495,000","680,000","185,000",WON,1,"680,000",0%,100%
19,krx:,krx:009540,9540,HD한국조선해양,1,"407,500","421,000",3%,"407,500","421,000","13,500",WON,1,"421,000",0%,100%
20,krx:,krx:488080,488080,TIGER 반도체TOP10레버리지,3,"70,498","81,150",15%,"211,494","243,450","31,956",WON,1,"243,450",0%,100%
21,krx:,krx:035420,35420,NAVER,1,"257,500","203,000",-21%,"257,500","203,000","-54,500",WON,1,"203,000",0%,100%
22,krx:,krx:042660,42660,한화오션,1,"102,700","122,200",19%,"102,700","122,200","19,500",WON,1,"122,200",0%,100%
23,krx:,krx:315930,315930,KODEX Top5PlusTR,1,"50,583","90,765",79%,"50,583","90,765","40,182",WON,1,"90,765",0%,100%
24,krx:,krx:449450,449450,PLUS K방산,1,"52,545","71,985",37%,"52,545","71,985","19,440",WON,1,"71,985",0%,100%
25,KOSDAQ:,KOSDAQ:122870,122870,와이지엔터테인먼트,1,"92,000","48,200",-48%,"92,000","48,200","-43,800",WON,1,"48,200",0%,100%
26,krx:,krx:035720,35720,카카오,1,"59,600","41,850",-30%,"59,600","41,850","-17,750",WON,1,"41,850",0%,100%
27,krx:,krx:445290,445290,KODEX 로봇액티브,1,"28,809","40,650",41%,"28,809","40,650","11,841",WON,1,"40,650",0%,100%
28,krx:,krx:494670,494670,TIGER 조선TOP10,1,"25,410","30,175",19%,"25,410","30,175","4,765",WON,1,"30,175",0%,100%
29,krx:,krx:102970,102970,KODEX 증권,1,"24,215","27,945",15%,"24,215","27,945","3,730",WON,1,"27,945",0%,100%
30,krx:,krx:229200,229200,KODEX 코스닥150,1,"18,621","19,780",6%,"18,621","19,780","1,159",WON,1,"19,780",0%,100%
31,krx:,krx:139230,139230,TIGER 200 중공업,1,"13,313","18,335",38%,"13,313","18,335","5,022",WON,1,"18,335",0%,100%
32,krx:,krx:228810,228810,TIGER 미디어컨텐츠,1,"6,420","4,080",-36%,"6,420","4,080","-2,340",WON,1,"4,080",0%,100%
