35,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,,NVDA,NVDA,엔비디아,2370,9.4,215.3,2191%,"22,271","510,332","488,061",CURRENCY:USDKRW,1520.8,"776,123,264",79%,79%
2,,AAPL,AAPL,애플,189,138.2,308.8,123%,"26,115","58,367","32,252",CURRENCY:USDKRW,1520.8,"88,765,671",9%,88%
3,,META,META,메타 플랫폼스(페이스북),26,307.9,610.3,98%,"8,005","15,867","7,862",CURRENCY:USDKRW,1520.8,"24,130,486",2%,91%
4,,GOOGL,GOOGL,알파벳 A,25,304.9,383,26%,"7,623","9,574","1,951",CURRENCY:USDKRW,1520.8,"14,560,711",1%,92%
5,,ASML,ASML,ASML 홀딩(ADR),5,1070,1632.9,53%,"5,350","8,165","2,815",CURRENCY:USDKRW,1520.8,"12,416,735",1%,94%
6,,SMH,SMH,반도체 반에크 ETF,10,507.6,576.3,14%,"5,076","5,763",687,CURRENCY:USDKRW,1520.8,"8,764,790",1%,94%
7,,QBIG,QBIG,INVESCO TOP QQQ,116,40.4,42.30,5%,"4,689","4,904",215,CURRENCY:USDKRW,1520.8,"7,458,831",1%,95%
8,,REMX,REMX,희토류 및 전략금속 반에크 ETF,33,92.3,96.8,5%,"3,044","3,195",151,CURRENCY:USDKRW,1520.8,"4,859,111",0%,96%
9,,AMD,AMD,AMD,7,229.8,467.5,103%,"1,608","3,273","1,664",CURRENCY:USDKRW,1520.8,"4,976,990",1%,96%
10,,AMZN,AMZN,아마존닷컴,11,263.2,266.3,1%,"2,895","2,930",34,CURRENCY:USDKRW,1520.8,"4,455,273",0%,97%
11,,TSLA,TSLA,테슬라,7,383.2,426,11%,"2,682","2,982",300,CURRENCY:USDKRW,1520.8,"4,535,192",0%,97%
12,,MSFT,MSFT,마이크로소프트,6,376.7,418.6,11%,"2,260","2,511",251,CURRENCY:USDKRW,1520.8,"3,819,418",0%,98%
13,,TSM,TSM,TSMC(ADR),6,318,404.5,27%,"1,908","2,427",519,CURRENCY:USDKRW,1520.8,"3,691,213",0%,98%
14,,RDDT,RDDT,레딧,12,187.3,141.7,-24%,"2,247","1,700",-547,CURRENCY:USDKRW,1520.8,"2,585,455",0%,98%
15,,BRK.b,BRK.b,버크셔 해서웨이 B,3,455.2,486.4,7%,"1,365","1,459",94,CURRENCY:USDKRW,1520.8,"2,219,089",0%,98%
16,,PICK,PICK,MSCI 글로벌 금속 및 광산 아이셰어즈 ETF,20,60,63.6,6%,1200,"1,271",72,CURRENCY:USDKRW,1520.8,"1,933,571",0%,99%
17,,AVGO,AVGO,브로드컴,3,304.1,414.1,36%,912,"1,242",330,CURRENCY:USDKRW,1520.8,"1,889,497",0%,99%
18,,CRCL,CRCL,써클 인터넷 그룹,11,97.7,113.1,16%,1074,"1,244",170,CURRENCY:USDKRW,1520.8,"1,892,387",0%,99%
19,,HOOD,HOOD,로빈후드,14,105.5,73.60,-30%,1477,"1,031",-446,CURRENCY:USDKRW,1520.8,"1,567,905",0%,99%
20,,LLY,LLY,일라이 릴리,1,770.7,1065,38%,771,1065,294,CURRENCY:USDKRW,1520.8,"1,619,673",0%,99%
21,,SOXL,SOXL,미국 반도체 3배 디렉시온 ETF,5,124.2,190.6,53%,621,953,332,CURRENCY:USDKRW,1520.8,"1,449,037",0%,99%
22,,EEM,EEM,MSCI 신흥국 아이셰어즈 ETF,10,58.5,65.9,13%,585,659,74,CURRENCY:USDKRW,1520.8,"1,001,916",0%,100%
23,,COIN,COIN,코인베이스 글로벌,3,212.2,185,-13%,637,555,-82,CURRENCY:USDKRW,1520.8,"844,009",0%,100%
24,,ARKF,ARKF,ARK FINTECH INNOVATION,12,42.9,40.9,-5%,514,490,-24,CURRENCY:USDKRW,1520.8,"745,506",0%,100%
25,,TOPT,TOPT,ISHARES TOP 20 US STOCKS,9,30.3,33.8,11%,273,304,31,CURRENCY:USDKRW,1520.8,"462,086",0%,100%
26,,PLTR,PLTR,팔란티어 테크,2,131.2,136.9,4%,262,274,11,CURRENCY:USDKRW,1520.8,"416,340",0%,100%
27,,ITA,ITA,항공우주 및 방산주 아이셰어즈 ETF,1,248.5,225.4,-9%,249,225,-23,CURRENCY:USDKRW,1520.8,"342,747",0%,100%
28,,INTC,INTC,인텔,2,109.6,119.8,9%,219,240,20,CURRENCY:USDKRW,1520.8,"364,510",0%,100%
29,,MSTR,MSTR,스트래티지,1,187.7,159.9,-15%,188,160,-28,CURRENCY:USDKRW,1520.8,"243,164",0%,100%
30,,ARKW,ARKW,ARK NEXT GENERATION INTERNET,1,153,145.3,-5%,153,145,-8,CURRENCY:USDKRW,1520.8,"220,945",0%,100%
31,,IONQ,IONQ,아이온큐,2,35.3,63.6,80%,71,127,57,CURRENCY:USDKRW,1520.8,"193,570",0%,100%
32,,TQQQ,TQQQ,QQQ 레버리지 3배 프로셰어즈 ETF,1,55.2,77.8,41%,55,78,23,CURRENCY:USDKRW,1520.8,"118,381",0%,100%
33,,AIPO,AIPO,DEFIANCE AI & POWER INFRASTRUCTURE,2,32.2,32.4,0%,64,65,0,CURRENCY:USDKRW,1520.8,"98,427",0%,100%
34,,MP,MP,MP 머티리얼스,1,61.4,64.5,5%,61,64,3,CURRENCY:USDKRW,1520.8,"98,032",0%,100%
35,,BMNR,BMNR,비트마인 이머전 테크놀로지스,1,33.8,18.9,-0.44,34,19,-15,CURRENCY:USDKRW,1520.8,28713,0,1
