17,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:379800,379800,KODEX 미국S&P500,2692,"24,145","25,615",6%,"64,998,340","68,955,580","3,957,240",WON,1,"68,955,580",46%,46%
2,krx:,krx:390390,390390,KODEX 미국반도체,242,"41,010","59,070",44%,"9,924,420","14,294,940","4,370,520",WON,1,"14,294,940",9%,55%
3,krx:,krx:426020,426020,TIME 미국S&P500액티브,371,26728,35060,0.31,9916088,13007260,3091172,WON,1,13007260,0.09,0.64
4,krx:,krx:381170,381170,TIGER 미국테크TOP10 INDXX,348,28578,34980,0.22,9945144,12173040,2227896,WON,1,12173040,0.08,0.72
5,krx:,krx:483570,483570,KCGI 미국S&P500 TOP10,671,14280,17560,0.23,9581880,11782760,2200880,WON,1,11782760,0.08,0.8
6,krx:,krx:396520,396520,TIGER 차이나반도체FACTSET,595,11006,16300,0.48,6548570,9698500,3149930,WON,1,9698500,0.06,0.86
7,krx:,krx:415920,415920,PLUS 글로벌희토류&전략자원생산기업,809,9109,9900,0.09,7369181,8009100,639919,WON,1,8009100,0.05,0.92
8,krx:,krx:487230,487230,KODEX 미국AI전력핵심인프라,209,20040,26535,0.32,4188360,5545815,1357455,WON,1,5545815,0.04,0.95
9,krx:,krx:456600,456600,TIME 글로벌AI인공지능액티브,38,53160,64950,0.22,2020080,2468100,448020,WON,1,2468100,0.02,0.97
10,krx:,krx:473590,473590,ACE 미국주식베스트셀러,49,16285,25400,0.56,797965,1244600,446635,WON,1,1244600,0.01,0.98
11,krx:,krx:457480,457480,ACE 테슬라밸류체인액티브,48,19962,24575,0.23,958176,1179600,221424,WON,1,1179600,0.01,0.98
12,krx:,krx:473460,473460,KODEX 미국서학개미,43,18453,27595,0.5,793479,1186585,393106,WON,1,1186585,0.01,0.99
13,krx:,krx:475350,475350,RISE 버크셔포트폴리오TOP10,34,11908,15255,0.28,404872,518670,113798,WON,1,518670,0,1
14,krx:,krx:309230,309230,ACE 미국WIDEMOAT동일가중,16,27787,31070,0.12,444592,497120,52528,WON,1,497120,0,1
15,krx:,krx:446770,446770,ACE 글로벌반도체TOP4 PLUS,1,56904,85500,0.5,56904,85500,28596,WON,1,85500,0,1
16,krx:,krx:435040,435040,ACE 글로벌브랜드TOP10,1,16494,20820,0.26,16494,20820,4326,WON,1,20820,0,1
17,krx:,krx:496770,496770,PLUS 글로벌방산,1,19470,18065,-0.07,19470,18065,-1405,WON,1,18065,0,1
