code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중
434730,HANARO 원자력iSelect,"1,343","64,084","81,280",27%,"86,064,812","109,159,040","23,094,228",WON,1,"109,159,040",20%
315960,RISE 대형고배당10TR,"1,017","87,488","89,475",2%,"88,975,296","90,996,075","2,020,779",WON,1,"90,996,075",16%
363580,KODEX 200IT TR,"1,569","56,790","61,285",8%,"89,103,510","96,156,165","7,052,655",WON,1,"96,156,165",17%
6800,미래에셋증권,943,"59,447","67,500",14%,"56,058,521","63,652,500","7,593,979",WON,1,"63,652,500",11%
315930,KODEX Top5PlusTR,506,"87,814","90,765",3%,"44,433,884","45,927,090","1,493,206",WON,1,"45,927,090",8%
278530,KODEX 200TR,"1,045","42,595","44,570",5%,"44,511,775","46,575,650","2,063,875",WON,1,"46,575,650",8%
6260,LS,44,"378,500","544,000",44%,"16,654,000","23,936,000","7,282,000",WON,1,"23,936,000",4%
5380,현대차,31,"457,968","655,000",43%,"14,197,008","20,305,000","6,107,992",WON,1,"20,305,000",4%
1440,대한전선,276,"48,000","54,800",14%,"13,248,000","15,124,800","1,876,800",WON,1,"15,124,800",3%
396500,TIGER 반도체TOP10,280,"26,739","48,000",80%,"7,486,920","13,440,000","5,953,080",WON,1,"13,440,000",2%
298040,효성중공업,2,"3,517,000","4,007,000",14%,"7,034,000","8,014,000","980,000",WON,1,"8,014,000",1%
487240,KODEX AI전력핵심설비,132,"45,481","55,090",21%,"6,003,492","7,271,880","1,268,388",WON,1,"7,271,880",1%
10120,LS ELECTRIC,26,"228,500","281,000",23%,"5,941,000","7,306,000","1,365,000",WON,1,"7,306,000",1%
267260,HD현대일렉트릭,5,"1,253,000","1,173,000",-6%,"6,265,000","5,865,000","-400,000",WON,1,"5,865,000",1%
226950,올릭스,8,"138,600","161,800",17%,"1,108,800","1,294,400","185,600",WON,1,"1,294,400",0%
69500,KODEX 200,6,"75,680","123,350",63%,"454,080","740,100","286,020",WON,1,"740,100",0%
449450,PLUS K방산,10,"73,861","71,985",-3%,"738,610","719,850","-18,760",WON,1,"719,850",0%
307950,현대오토에버,1,"485,500","631,000",30%,"485,500","631,000","145,500",WON,1,"631,000",0%
445290,KODEX 로봇액티브,10,"33,162","40,650",23%,"331,620","406,500","74,880",WON,1,"406,500",0%
466920,SOL 조선TOP3플러스,10,"36,704","38,470",5%,"367,040","384,700","17,660",WON,1,"384,700",0%
122630,KODEX 레버리지,2,"135,273","171,400",27%,"270,546","342,800","72,254",WON,1,"342,800",0%
108490,로보티즈,1,"297,847","304,500",2%,"297,847","304,500","6,653",WON,1,"304,500",0%
157500,TIGER 증권,10,"17,467","19,390",11%,"174,670","193,900","19,230",WON,1,"193,900",0%
488080,TIGER 반도체TOP10레버리지,2,"68,603","81,150",18%,"137,206","162,300","25,094",WON,1,"162,300",0%
229200,KODEX 코스닥150,1,"19,464","19,780",2%,"19,464","19,780",316,WON,1,"19,780",0%
462900,KoAct 바이오헬스케어액티브,1,"24,315","19,070",-22%,"24,315","19,070","-5,245",WON,1,"19,070",0%
139230,TIGER 200 중공업,1,"15,585","18,335",18%,"15,585","18,335","2,750",WON,1,"18,335",0%
0080Y0,SOL 조선TOP3플러스레버리지,1,"21,045","17,690",-16%,"21,045","17,690","-3,355",WON,1,"17,690",0%
233740,KODEX 코스닥150레버리지,1,"18,580","16,135",-13%,"18,580","16,135","-2,445",WON,1,"16,135",0%
204210,스타에스엠리츠,6,"2,725","2,035",-25%,"16,350","12,210","-4,140",WON,1,"12,210",0%
0100K0,KODEX 방산TOP10레버리지,1,"17,521","12,060",-31%,"17,521","12,060","-5,461",WON,1,"12,060",0%
140910,에이리츠,1,"10,600","3,130",-70%,"10,600","3,130","-7,470",WON,1,"3,130",0%
