27,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:000660,660,SK하이닉스,14,"632,250",,-100%,"8,851,500",0,"-8,851,500",WON,1,0,0%,0%
2,krx:,krx:005930,5930,삼성전자,51,"49,574","292,500",490%,"2,528,274","14,917,500","12,389,226",WON,1,"14,917,500",34%,34%
3,krx:,krx:207940,207940,삼성바이오로직스,1,"1,654,000","1,415,000",-14%,"1,654,000","1,415,000","-239,000",WON,1,"1,415,000",3%,37%
4,krx:,krx:363580,363580,KODEX 200IT TR,19,"20,537","61,285",198%,"390,203","1,164,415","774,212",WON,1,"1,164,415",3%,40%
5,krx:,krx:035420,35420,NAVER,5,"149,200","203,000",36%,"746,000","1,015,000","269,000",WON,1,"1,015,000",2%,42%
6,krx:,krx:035720,35720,카카오,22,"65,873","41,850",-36%,"1,449,206","920,700","-528,506",WON,1,"920,700",2%,44%
7,krx:,krx:278530,278530,KODEX 200TR,9,"15,446","44,570",189%,"139,014","401,130","262,116",WON,1,"401,130",1%,45%
8,krx:,krx:068270,68270,셀트리온,2,"245,750","198,700",-19%,"491,500","397,400","-94,100",WON,1,"397,400",1%,46%
9,krx:,krx:352820,352820,하이브,1,"291,000","235,000",-19%,"291,000","235,000","-56,000",WON,1,"235,000",1%,47%
10,krx:,krx:396500,396500,TIGER 반도체TOP10,4,"29,110","48,000",65%,"116,440","192,000","75,560",WON,1,"192,000",0%,47%
11,krx:,krx:315960,315960,RISE 대형고배당10TR,1,"23,096","89,475",287%,"23,096","89,475","66,379",WON,1,"89,475",0%,47%
12,krx:,krx:228820,228820,TIGER KTOP30,3,"15,988","21,105",32%,"47,964","63,315","15,351",WON,1,"63,315",0%,47%
13,,NVDA,NVDA,엔비디아,31,93,215,132%,"2,873","6,675","3,802",CURRENCY:USDKRW,1520.8,"10,151,823",23%,71%
14,,TSLA,TSLA,테슬라,4,239,,-100%,956,0,-956,CURRENCY:USDKRW,1520.8,0,0%,71%
15,,MSFT,MSFT,마이크로소프트,4,307,419,36%,"1,229","1,674",445,CURRENCY:USDKRW,1520.8,"2,546,279",6%,76%
16,,GOOGL,GOOGL,알파벳 A,4,115,383,233%,459,"1,532","1,072",CURRENCY:USDKRW,1520.8,"2,329,714",5%,82%
17,,BRK.B,BRK.B,버크셔 해서웨이 B,3,306,,-100%,917,0,-917,CURRENCY:USDKRW,1520.8,0,0%,82%
18,,AAPL,AAPL,애플,4,152,309,103%,608,"1,235",627,CURRENCY:USDKRW,1520.8,"1,878,639",4%,86%
19,,AMZN,AMZN,아마존닷컴,4,130,266,104%,521,"1,065",544,CURRENCY:USDKRW,1520.8,"1,620,099",4%,90%
20,,LLY,LLY,일라이 릴리,1,780,"1,065",37%,780,"1,065",285,CURRENCY:USDKRW,1520.8,"1,619,673",4%,93%
21,,PLTR,PLTR,팔란티어 테크,5,157,137,-13%,784,684,-99,CURRENCY:USDKRW,1520.8,"1,040,849",2%,96%
22,,META,META,메타 플랫폼스(페이스북),1,488,610,25%,488,610,122,CURRENCY:USDKRW,1520.8,"928,096",2%,98%
23,,VT,VT,VANGUARD TOTAL WORLD STOCK,1,79,156,97%,79,156,77,CURRENCY:USDKRW,1520.8,"236,594",1%,98%
24,,MAGS,MAGS,ROUNDHILL MAGNIFICENT SEVEN,2,61,69,14%,121,139,17,CURRENCY:USDKRW,1520.8,"210,968",0%,99%
25,,NVO,NVO,노보노디스크(ADR),3,130,45,-65%,389,135,-254,CURRENCY:USDKRW,1520.8,"205,128",0%,99%
26,,TOPT,TOPT,ISHARES TOP 20 US STOCKS,3,24,34,38%,73,101,28,CURRENCY:USDKRW,1520.8,"154,029",0%,100%
27,,SPYM,SPYM,STATE STREET SPDR PORTFOLIO S&P 500,1,75,88,17%,75,88,13,CURRENCY:USDKRW,1520.8,"133,452",0%,100%
