23,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:381170,"381,170",TIGER 미국테크TOP10 INDXX,"1,493","12,017","34,980",191%,"17,941,381","52,225,140","34,283,759",WON,1,"52,225,140",23%,23%
2,krx:,krx:483570,"483,570",KCGI 미국S&P500 TOP10,"2,380","10,424","17,560",68%,"24,809,120","41,792,800","16,983,680",WON,1,"41,792,800",19%,42%
3,krx:,krx:456600,"456,600",TIME 글로벌AI인공지능액티브,632,"45,648","64,950",42%,"28,849,536","41,048,400","12,198,864",WON,1,"41,048,400",18%,60%
4,krx:,krx:446770,"446,770",ACE 글로벌반도체TOP4 PLUS,352,"74,814","85,500",14%,"26,334,528","30,096,000","3,761,472",WON,1,"30,096,000",13%,74%
5,krx:,krx:390390,"390,390",KODEX 미국반도체,459,"53,041","59,070",11%,"24,345,819","27,113,130","2,767,311",WON,1,"27,113,130",12%,86%
6,krx:,krx:426030,"426,030",TIME 미국나스닥100액티브,465,"28,065","55,300",97%,"13,050,225","25,714,500","12,664,275",WON,1,"25,714,500",11%,97%
7,krx:,krx:396520,"396,520",TIGER 차이나반도체FACTSET,328,"11,743","16,300",39%,"3,851,704","5,346,400","1,494,696",WON,1,"5,346,400",2%,99%
8,krx:,krx:381180,"381,180",TIGER 미국필라델피아반도체나스닥,4,"33,716","47,770",42%,"134,864","191,080","56,216",WON,1,"191,080",0%,100%
9,krx:,krx:453950,"453,950",TIGER TSMC파운드리밸류체인,4,"26,933","35,060",30%,"107,732","140,240","32,508",WON,1,"140,240",0%,100%
10,krx:,krx:287180,"287,180",PLUS 미국나스닥테크,2,"33,477","57,770",73%,"66,954","115,540","48,586",WON,1,"115,540",0%,100%
11,krx:,krx:483320,"483,320",ACE 엔비디아밸류체인액티브,4,"18,997","27,340",44%,"75,988","109,360","33,372",WON,1,"109,360",0%,100%
12,krx:,krx:483340,"483,340",ACE 구글밸류체인액티브,4,"18,771","26,300",40%,"75,084","105,200","30,116",WON,1,"105,200",0%,100%
13,krx:,krx:368590,"368,590",RISE 미국나스닥100,3,"26,745","33,010",23%,"80,235","99,030","18,795",WON,1,"99,030",0%,100%
14,krx:,krx:483420,"483,420",ACE 애플밸류체인액티브,4,"17,737","25,105",42%,"70,948","100,420","29,472",WON,1,"100,420",0%,100%
15,krx:,krx:251350,"251,350",KODEX MSCI선진국,2,"28,580","41,625",46%,"57,160","83,250","26,090",WON,1,"83,250",0%,100%
16,krx:,krx:0043Y0,0043Y0,TIME 차이나AI테크액티브,2,"18,450","20,940",13%,"36,900","41,880","4,980",WON,1,"41,880",0%,100%
17,krx:,krx:483330,"483,330",ACE 마이크로소프트밸류체인액티브,2,"11,260","15,290",36%,"22,520","30,580","8,060",WON,1,"30,580",0%,100%
18,krx:,krx:0051A0,0051A0,KOACT 브로드컴밸류체인액티브,1,"17,710","25,590",44%,"17,710","25,590","7,880",WON,1,"25,590",0%,100%
19,krx:,krx:465580,"465,580",ACE 미국빅테크TOP7 PLUS,1,"17,804","26,270",48%,"17,804","26,270","8,466",WON,1,"26,270",0%,100%
20,krx:,krx:457480,"457,480",ACE 테슬라밸류체인액티브,1,"22,075","24,575",11%,"22,075","24,575","2,500",WON,1,"24,575",0%,100%
21,krx:,krx:0093D0,0093D0,KOACT 팔란티어밸류체인액티브,1,"13,715","18,435",34%,"13,715","18,435","4,720",WON,1,"18,435",0%,100%
22,krx:,krx:485540,"485,540",KODEX 미국AI테크TOP10,1,"10,007","17,080",71%,"10,007","17,080","7,073",WON,1,"17,080",0%,100%
23,krx:,krx:371160,"371,160",TIGER 차이나항셍테크,1,"7,150",,-100%,"7,150",0,"-7,150",WON,1,0,0%,100%
