13,접두,코드,code,2026-05-22,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:251350,"251,350",KODEX MSCI선진국,886,"13,637.00","41,625",205%,"12,082,382","36,879,750","24,797,368",WON,1,"36,879,750",43%,43%
2,krx:,krx:133690,"133,690",TIGER 미국나스닥100,147,"39,295.00","197,990",404%,"5,776,365","29,104,530","23,328,165",WON,1,"29,104,530",34%,76%
3,krx:,krx:203780,"203,780",TIGER 미국나스닥바이오,360,"14,168.00","32,475",129%,"5,100,480","11,691,000","6,590,520",WON,1,"11,691,000",14%,90%
4,krx:,krx:192090,"192,090",TIGER 차이나CSI300,404,"8,593.00","14,240",66%,"3,471,572","5,752,960","2,281,388",WON,1,"5,752,960",7%,97%
5,krx:,krx:117690,"117,690",TIGER 차이나항셍30,89,"17,878.00",,-100%,"1,591,142",0,"-1,591,142",WON,1,0,0%,97%
6,krx:,krx:287180,"287,180",PLUS 미국나스닥테크,2,"11,127.00","57,770",419%,"22,254","115,540","93,286",WON,1,"115,540",0%,97%
7,krx:,krx:269540,"269,540",PLUS 미국S&P500(H),1,"11,165.00","29,720",166%,"11,165","29,720","18,555",WON,1,"29,720",0%,97%
8,krx:,krx:245350,"245,350",TIGER 유로스탁스배당30,1,"13,125.00","20,190",54%,"13,125","20,190","7,065",WON,1,"20,190",0%,97%
9,krx:,krx:,,미래에셋글로벌그로스증권자투자신탁1호(주식)A-e,285,"1,298.00","2,379",83%,"369,930","678,015","308,085",WON,1,"678,015",1%,98%
10,krx:,krx:,,삼성글로벌선진국증권자투자신탁H[주식]_Ae,307,"1,205.00","2,091",74%,"369,935","641,989","272,054",WON,1,"641,989",1%,98%
11,krx:,krx:,,피델리티글로벌배당인컴증권자투자신탁(주식-재간접형)Ae,301,"1,195.00","1,919",61%,"359,695","577,619","217,924",WON,1,"577,619",1%,99%
12,krx:,krx:,,슈로더이머징위너스증권자투자신탁(주식혼합-재간접형)종류Ae,344,"1,076.00","1,288",20%,"370,144","443,072","72,928",WON,1,"443,072",1%,100%
13,krx:,krx:,,신한차이나인덱스증권자투자신탁(UH)[주식-파생형](종류Ae),352,"1,024.00","1,162",13%,"360,448","409,024","48,576",WON,1,"409,024",0%,100%
